id,id_dup,type,lan,title,title_dup,content,content_dup,cos_similarity,content_distance,title_distance,certainty
63618,63619,9,1,3. Noul legamant al Harului,3.noul legamant al Harului.Trebuie sa citesti asta!!!,noul legamant harul este un dar nemeritat nu poti sa faci nimic ca sa il castigi este darul lui zeu ,noul legamant harul este un dar nemeritat nu poti sa faci nimic ca sa il castigi este darul lui zeu ,1,1,0.625,validated
64148,64466,9,1,15.noul legamant al Harului.Trebuie sa citesti asta!!!,15.noul legamant al Harului.Trebuie sa citesti asta!!!,daca de minune ai nevoie minune vei primi in noul legamant pacatele tale au fost indepartate intreag,daca de minune ai nevoie minune vei primi in noul legamant pacatele tale au fost indepartate intreag,1,1,1,validated
66281,66437,9,1,1.Ce este Botezul cu Duhul Sfant,Botezul cu Duhul Sfant,sesiunea botezul cu duhul sfant pag botezul cu duhul sfant este esential in viata credinciosului ca ,sesiunea botezul cu duhul sfant pag botezul cu duhul sfant este esential in viata credinciosului ca ,0.99968894,1,0.814814815,validated
62190,77743,9,1,Manual de studiu biblic - vol. II,Manual de studiu biblic - vol. I,manual de studiu biblic vol de schite de studiu,manual de studiu biblic vol,0.992651683,0.72972973,0.984615385,validated
170387,171193,9,1,Ce este pocÃ„ÂƒinÄ¹Åa?,Ce este pocÃ„ÂƒinÄ¹Åa?,ce este pocainta aceasta intrebare ii framanta pe multi oameni dar foarte putini sunt in stare sa de,aceasta intrebare ii framanta pe multi oameni dar foarte putini sunt in stare sa dea un raspuns mult,0.997514154,0.83,1,validated
172147,172863,9,1,Ce sÃ„Âƒ faci pentru a avea bucuria mÄ‚Ë˜ntuirii?,Ce sÃ„Âƒ faci pentru a avea bucuria mÄ‚Ë˜ntuirii?,intrebare am facut botezul in urma cu luni dar inca nu simt putere viata inca nu simt ca intamplat c,intrebare am facut botezul in urma cu luni dar inca nu simt putere viata inca nu simt ca intamplat c,1,1,1,validated
140973,140974,46,1,EÄŒÂ™ti atÄ‚Ë˜t de valoros,EÄŒÂ™ti atÄ‚Ë˜t de valoros,fiindca atat de mult iubit dumnezeu lumea ca dat pe singurul sau fiu sa moara ca oricine crede in el,fiindca atat de mult iubit dumnezeu lumea ca dat pe singurul sau fiu sa moara ca oricine crede in el,1,1,1,validated
146658,146659,46,1,GreÄ¹ÂŸeala lui Lot,GreÄ¹ÂŸeala lui Lot,glumi acum in mod inocent inseamna nu mai avea credibilitate cand vei dori sa fii luat in serios,glumi acum in mod inocent inseamna nu mai avea credibilitate cand vei dori sa fii luat in serios,1,1,1,validated
64884,64885,10,2,Film viata lui Isus,Film viata lui Isus,https docs google com leaf id b nxgr k gztc mtgymdatnjq ns zwezltg mdetyjk ogzjmjq njg sort name lay,https docs google com leaf id b nxgr k gnwezmgfknwmtngjlyi njcwlthhyjatmjviytzjymq nju sort name lay,1,0.69,1,validated
64886,64884,10,2,Film viata lui Isus,Film viata lui Isus,https docs google com leaf id b nxgr k gytdmnjcxmmutmzbizs mwy lwi y utyznizjk ztu mmzm sort name la,https docs google com leaf id b nxgr k gztc mtgymdatnjq ns zwezltg mdetyjk ogzjmjq njg sort name lay,1,0.67,1,validated
39829,40080,10,2,Pacatosii in mainile unui Dumnezeu manios.,SINNERS IN THE HANDS OF AN ANGRY GOD,sinners in the hands of an angry god their foot shall slide in due time deut in this verse is threat,their foot shall slide in due time deut in this verse is threatened the vengeance of god on the wick,0.995173742,0.63,0.128205128,validated
40039,94386,10,2,Planul Veacurilor Eternitatea,Eternity (Eternitatea),prin voia lui dumnezeu continuam studiul biblic de azi avid text de baza tot efeseni si efeseni caci,david ilea prin voia lui dumnezeu continuam studiul biblic de azi februarie avand text de baza tot e,0.9991562,0.77,0.509803922,validated
41048,79360,10,2,The Antichrist,The Antichrist Part 1,the antichrist part innumerable works have been written countless sermons have been preached and myr,kingdom bible studies studies in end time revelation the antichrist part antichrist instead of fromÄ˜,0.9965081,0.298507463,0.8,validated
41049,79444,10,2,The Antichrist part 2,The Antichrist Part 2,the antichrist part the subject of the antichrist occupies much of the religious thinking public pre,kingdom bible studies studies in end time revelation the antichrist part the subject of the antichri,0.9977028,0.47,0.952380952,validated
41055,79589,10,2,The Antichrist part 3,The Antichrist Part 3,you have heard their names nero mohammed emperor frederick ii pope john xxii martin luther napoleonÄ˜,kingdom bible studies studies in end time revelation the antichrist part the last days the spirit of,0.9976996,0.258706468,0.952380952,validated
257,588,1,1,Aprinde focul iar,sa nu-mi pierd dragostea,sa nu mi pierd dragostea gm bb te rog isus aprinde focul iar nici viziunea mea gm bb la tine strig a,sa nu mi pierd dragostea gm bb te rog isus aprinde focul iar nici viziunea mea gm bb la tine strig a,1,1,0.243902439,validated
